Date,Florida,Louisiana,Indiana,New_Jersey,North_Dakota,Minnesota
07/03/2020,9415,1728,528,418,65,256
07/04/2020,11372,968,517,304,57,256
07/05/2020,9986,968,576,392,37,433
07/06/2020,6300,1101,323,245,33,564
07/07/2020,7218,1936,295,322,49,500
07/08/2020,9882,1888,437,202,73,503
07/09/2020,8891,1843,512,282,99,631
07/10/2020,11343,2642,725,394,84,804
07/11/2020,10274,2167,779,370,89,600
07/12/2020,15135,1319,533,373,91,601
07/13/2020,12548,1705,425,286,108,398
07/14/2020,9122,2215,648,444,123,588
07/15/2020,10087,2089,685,410,103,588
07/16/2020,13764,2280,710,271,124,666
07/17/2020,11362,2179,733,95,115,457
07/18/2020,10199,1558,841,287,112,734
07/19/2020,12411,1558,917,120,107,626
07/20/2020,10287,3186,635,120,81,626
07/21/2020,9345,1691,710,347,160,504
07/22/2020,9676,2771,757,445,126,760
07/23/2020,10171,2296,929,286,121,769
07/24/2020,12379,2084,996,499,122,801
07/25/2020,12115,1920,922,547,140,756
07/26/2020,9259,1920,852,534,110,756
07/27/2020,8854,2343,535,493,155,478
07/28/2020,9169,1121,771,538,86,666
07/29/2020,9384,1735,621,506,74,745
07/30/2020,9854,1708,954,240,168,772
07/31/2020,8925,1799,901,747,133,724
08/01/2020,9591,1733,968,405,58,759
08/02/2020,7047,1733,735,350,125,607
08/03/2020,4758,1099,576,311,148,607
08/04/2020,5347,3615,822,391,124,617
08/05/2020,5408,1482,720,403,120,861
08/06/2020,7587,1303,1040,417,150,545
08/07/2020,7653,1500,1239,405,181,916
08/08/2020,8425,1326,1033,391,88,797
08/09/2020,6190,1326,1041,364,117,618
08/10/2020,4152,562,664,304,172,323
08/11/2020,5793,1164,870,474,85,228
08/12/2020,8059,1179,660,518,201,228
08/13/2020,6192,1135,1043,692,151,1427
08/14/2020,6105,1298,1067,615,122,690
08/15/2020,6291,590,1044,37,143,749
08/16/2020,3747,590,739,316,60,554
08/17/2020,2649,567,591,360,135,172
08/18/2020,3787,640,841,382,186,172
08/19/2020,4080,778,489,371,274,1247
08/20/2020,4516,918,941,135,232,825
08/21/2020,4616,899,1040,330,262,725
08/22/2020,4260,611,1000,445,140,725
08/23/2020,3004,611,615,290,124,714
08/24/2020,2224,623,1660,278,229,409
08/25/2020,2665,550,829,347,238,529
08/26/2020,2937,1545,938,337,333,1154
08/27/2020,3229,677,1145,349,310,850
08/28/2020,3732,606,809,403,374,987
08/29/2020,3132,812,1121,372,166,987
08/30/2020,2547,812,879,314,166,650
08/31/2020,1876,326,883,400,184,610
09/01/2020,7487,689,695,373,267,610
09/02/2020,2310,1151,859,346,362,940
09/03/2020,3487,813,1104,422,344,940
09/04/2020,3147,822,1030,508,361,810
09/05/2020,3593,697,1077,367,297,810
09/06/2020,2513,697,843,339,170,638
09/07/2020,1812,309,590,364,71,383
09/08/2020,1797,256,386,346,238,260
09/09/2020,2006,1561,705,389,333,381
09/10/2020,2537,464,758,475,241,233
09/11/2020,3604,755,1262,530,467,233
09/12/2020,3168,640,1056,476,426,1595
09/13/2020,2395,640,1243,331,254,638
09/14/2020,1718,492,736,388,233,402
