total_cases,state_temp
527784,1
1300528,1
315275,1
1756172,1
218386,1
666452,1
383193,1
322596,1
225138,1
324684,1
520207,1
539545,1
586802,1
2245379,1
265262,1
354767,1
449569,1
58064,1
222433,1
280219,1
142864,1
963389,1
85334,1
700380,2
224731,2
90579,2
166798,2
640325,2
185708,2
276612,2
280669,2
369341,2
113909,2
246752,2
334097,2
99164,2
986424,2
528621,2
141077,2
520438,2
44028,2
7412,2
81555,2
44409,2
24201,2
415302,2
92770,2
