submission_date,new_case,new_death
11/09/2020,1018,17
11/10/2020,1031,12
11/11/2020,1800,11
11/12/2020,1429,10
11/13/2020,2270,19
11/14/2020,924,10
11/15/2020,1089,7
11/16/2020,1082,26
11/17/2020,1263,16
11/18/2020,1382,10
11/19/2020,1404,23
11/20/2020,1524,16
11/21/2020,1143,6
11/22/2020,714,6
11/23/2020,1004,37
11/24/2020,1077,4
11/25/2020,964,10
11/26/2020,790,5
11/27/2020,703,13
11/28/2020,723,5
11/29/2020,594,7
11/30/2020,403,27
12/01/2020,480,12
12/02/2020,970,11
12/03/2020,844,12
12/04/2020,555,18
12/05/2020,477,6
12/06/2020,361,9
12/07/2020,475,42
12/08/2020,2333,16
12/09/2020,557,23
12/10/2020,506,27
12/11/2020,377,22
12/12/2020,281,0
12/13/2020,196,5
12/14/2020,326,13
12/15/2020,334,0
12/16/2020,334,34
12/17/2020,494,21
12/18/2020,231,6
12/19/2020,251,0
12/20/2020,82,2
12/21/2020,332,5
12/22/2020,270,5
12/23/2020,225,17
12/24/2020,274,4
12/25/2020,133,0
12/26/2020,110,2
12/27/2020,93,4
12/28/2020,271,6
12/29/2020,372,6
12/30/2020,294,10
12/31/2020,275,17
01/01/2021,,
01/02/2021,,
01/03/2021,,
01/04/2021,,
01/05/2021,,
01/06/2021,,
01/07/2021,,
01/08/2021,,
01/09/2021,,
01/10/2021,,
01/11/2021,,
01/12/2021,,
01/13/2021,,
01/14/2021,,
01/15/2021,,
01/16/2021,,
01/17/2021,,
01/18/2021,,
01/19/2021,,
01/20/2021,,
01/21/2021,,
01/22/2021,,
01/23/2021,,
01/24/2021,,
01/25/2021,,
01/26/2021,,
01/27/2021,,
01/28/2021,,
01/29/2021,,
01/30/2021,,
01/31/2021,,
