submission_date,new_case,new_death
10/27/2020,4226,56
10/28/2020,4005,66
10/29/2020,4111,77
10/30/2020,5383,72
10/31/2020,2283,41
11/01/2020,4805,28
11/02/2020,4569,45
11/03/2020,4553,56
11/04/2020,4332,32
11/05/2020,6120,39
11/06/2020,5150,53
11/07/2020,4380,86
11/08/2020,6619,21
11/09/2020,3845,58
11/10/2020,4282,69
11/11/2020,5669,52
11/12/2020,5504,72
11/13/2020,6760,73
11/14/2020,4405,44
11/15/2020,9820,29
11/16/2020,4530,41
11/17/2020,7285,85
11/18/2020,7727,87
11/19/2020,8882,79
11/20/2020,8831,80
11/21/2020,8175,40
11/22/2020,6374,61
11/23/2020,6114,94
11/24/2020,8102,72
11/25/2020,8126,97
11/26/2020,8404,90
11/27/2020,8404,19
11/28/2020,6062,79
11/29/2020,7131,58
11/30/2020,6426,97
12/01/2020,8540,82
12/02/2020,9890,97
12/03/2020,10656,98
12/04/2020,9898,120
12/05/2020,10198,90
12/06/2020,8175,93
12/07/2020,7537,105
12/08/2020,7801,96
12/09/2020,9411,84
12/10/2020,11071,129
12/11/2020,11409,123
12/12/2020,10385,71
12/13/2020,8762,81
12/14/2020,8343,137
12/15/2020,9296,79
12/16/2020,11282,122
12/17/2020,13102,101
12/18/2020,12827,96
12/19/2020,11456,72
12/20/2020,8140,95
12/21/2020,10907,112
12/22/2020,10204,74
12/23/2020,11100,120
12/24/2020,12770,121
12/25/2020,8294,70
12/26/2020,8294,70
12/27/2020,7157,77
12/28/2020,8040,96
12/29/2020,11748,101
12/30/2020,13638,137
12/31/2020,16827,127
01/01/2021,15265,108
01/02/2021,15265,108
01/03/2021,10228,97
01/04/2021,10935,103
01/05/2021,15556,98
01/06/2021,17262,129
01/07/2021,19334,164
01/08/2021,19136,185
01/09/2021,15069,138
01/10/2021,12041,108
01/11/2021,11338,159
01/12/2021,14526,156
01/13/2021,13664,169
01/14/2021,13381,217
01/15/2021,16415,186
01/16/2021,11886,205
01/17/2021,10737,133
01/18/2021,7877,137
01/19/2021,9571,162
01/20/2021,11825,142
01/21/2021,12602,161
01/22/2021,13407,272
01/23/2021,12104,153
01/24/2021,9335,129
01/25/2021,8542,153
01/26/2021,9466,227
01/27/2021,8211,160
01/28/2021,11190,202
01/29/2021,10745,219
01/30/2021,14654,106
01/31/2021,7604,119
