submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
06/30/2020,OH,51789,48222,3567,743,45,2863,2615,248,45,5,07/01/2020 15:45,Agree,Agree
06/13/2020,OH,40848,37893,2955,424,50,2554,2324,230,46,2,06/14/2020 02:19:43 PM,Agree,Agree
04/28/2020,OH,16769,16128,641,444,15,799,757,42,46,1,04/29/2020 06:12:08 PM,Agree,Agree
05/07/2020,OH,22131,21132,999,555,48,1271,1153,118,46,7,05/08/2020 21:26,Agree,Agree
04/23/2020,OH,14694,14142,552,577,44,656,618,38,46,12,05/25/2020 03:38:40 PM,Agree,Agree
05/13/2020,OH,25721,24245,1476,471,35,1483,1347,136,47,3,05/14/2020 05:25:44 PM,Agree,Agree
05/15/2020,OH,26954,25349,1605,597,48,1581,1431,150,47,4,05/16/2020 03:46:44 PM,Agree,Agree
07/31/2020,OH,91159,86333,4826,1533,62,3489,3222,267,47,2,08/01/2020 14:38,Agree,Agree
04/21/2020,OH,13725,13250,475,806,72,557,538,19,48,1,04/21/2020 04:22:39 PM,Agree,Agree
08/26/2020,OH,117584,111331,6253,1089,101,4044,3761,283,48,3,08/27/2020 01:42:08 PM,Agree,Agree
09/16/2020,OH,140518,133046,7472,1033,105,4555,4256,299,49,0,09/17/2020 01:45:45 PM,Agree,Agree
09/11/2020,OH,135326,128297,7029,1240,49,4403,4110,293,49,3,09/12/2020 14:12,Agree,Agree
09/03/2020,OH,127112,120471,6641,1345,31,4226,3939,287,50,1,09/04/2020 13:36,Agree,Agree
06/01/2020,OH,35984,33501,2483,471,43,2206,1993,213,51,2,06/02/2020 14:16,Agree,Agree
05/14/2020,OH,26357,24800,1557,636,81,1534,1388,146,51,10,05/15/2020 04:11:22 PM,Agree,Agree
12/12/2020,OH,553461,507325,46136,11252,1492,7477,6911,566,51,4,12/13/2020 02:31:19 PM,Agree,Agree
06/02/2020,OH,36413,33892,2521,429,38,2258,2041,217,52,4,06/03/2020 14:11,Agree,Agree
09/23/2020,OH,146753,138712,8041,903,79,4687,4387,300,52,3,09/24/2020 01:54:02 PM,Agree,Agree
04/22/2020,OH,14117,13609,508,392,33,610,584,26,53,7,04/22/2020 04:22:39 PM,Agree,Agree
05/28/2020,OH,33915,31625,2290,476,42,2098,1888,210,54,8,05/29/2020 02:19:55 PM,Agree,Agree
