submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
03/09/2020,FL,19,,,13,,2,,,2,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/17/2020,FL,195,,,53,,7,,,2,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/20/2020,FL,510,,,117,,11,,,2,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/24/2020,FL,1373,,,232,,20,,,3,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/25/2020,FL,1861,,,488,,23,,,3,,03/26/2020 04:22:39 PM,Not agree,Not agree
03/23/2020,FL,1141,,,204,,17,,,4,,03/26/2020 04:22:39 PM,Not agree,Not agree
05/31/2020,FL,54764,,,735,0,2451,,,4,0,06/01/2020 14:17,Not agree,Not agree
05/24/2020,FL,50867,,,740,0,2237,,,4,0,05/25/2020 02:12:49 PM,Not agree,Not agree
03/29/2020,FL,4768,,,891,,60,,,4,,03/28/2020 04:22:39 PM,Not agree,Not agree
09/28/2020,FL,692962,,,728,49,14037,,,5,-1,09/29/2020 01:50:42 PM,Not agree,Not agree
03/26/2020,FL,2352,,,491,,29,,,6,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/14/2020,FL,73650,,,2061,0,2931,,,6,0,06/15/2020 02:33:03 PM,Not agree,Not agree
05/26/2020,FL,52255,,,509,0,2259,,,7,0,05/27/2020 03:37:59 PM,Not agree,Not agree
06/15/2020,FL,75388,,,1738,0,2938,,,7,0,06/16/2020 02:10:11 PM,Not agree,Not agree
09/13/2020,FL,656485,,,2395,79,12608,,,8,0,09/14/2020 02:01:21 PM,Not agree,Not agree
04/25/2020,FL,29996,,,289,0,1055,,,9,0,05/25/2020 03:38:40 PM,Not agree,Not agree
06/01/2020,FL,55415,,,651,0,2460,,,9,0,06/02/2020 14:16,Not agree,Not agree
05/17/2020,FL,45588,,,777,0,1973,,,9,0,05/18/2020 04:01:54 PM,Not agree,Not agree
09/20/2020,FL,675691,,,2497,138,13296,,,9,1,09/21/2020 01:47:41 PM,Not agree,Not agree
03/28/2020,FL,3877,,,823,,56,,,10,,03/28/2020 04:22:39 PM,Not agree,Not agree
09/27/2020,FL,692234,,,1847,144,14032,,,10,0,09/28/2020 01:50:59 PM,Not agree,Not agree
03/30/2020,FL,5489,,,721,,71,,,11,,03/29/2020 04:22:39 PM,Not agree,Not agree
06/08/2020,FL,63378,,,962,0,2712,,,12,0,06/09/2020 16:49,Not agree,Not agree
06/07/2020,FL,62416,,,1170,0,2700,,,12,0,06/08/2020 14:55,Not agree,Not agree
10/25/2020,FL,768653,,,2348,419,16429,,,12,0,10/26/2020 01:41:41 PM,Not agree,Not agree
06/22/2020,FL,98047,,,2908,0,3173,,,12,0,06/23/2020 02:28:19 PM,Not agree,Not agree
04/27/2020,FL,31290,,,610,0,1088,,,14,0,05/25/2020 03:38:40 PM,Not agree,Not agree
03/31/2020,FL,6490,,,1001,,85,,,14,,03/30/2020 04:22:39 PM,Not agree,Not agree
08/30/2020,FL,614753,,,2547,325,11119,,,14,2,08/31/2020 02:05:56 PM,Not agree,Not agree
05/25/2020,FL,51746,,,879,0,2252,,,15,0,05/26/2020 02:23:02 PM,Not agree,Not agree
04/12/2020,FL,19337,,,892,,461,,,15,,04/11/2020 16:22,Not agree,Not agree
04/01/2020,FL,7495,,,1005,,101,,,16,,03/31/2020 04:22:39 PM,Not agree,Not agree
03/27/2020,FL,3054,,,702,,46,,,17,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/21/2020,FL,95139,,,3469,0,3161,,,17,0,06/22/2020 03:24:02 PM,Not agree,Not agree
07/04/2020,FL,187090,,,11372,698,3702,,,18,1,07/05/2020 15:00,Not agree,Not agree
11/27/2020,FL,963751,,,0,-188,18363,,,19,1,11/28/2020 02:46:47 PM,Not agree,Not agree
04/26/2020,FL,30680,,,684,0,1074,,,19,0,05/25/2020 03:38:40 PM,Not agree,Not agree
05/10/2020,FL,39888,,,0,0,1735,,,20,0,05/11/2020 21:26,Not agree,Not agree
10/26/2020,FL,771989,,,3336,512,16449,,,20,1,10/27/2020 01:47:53 PM,Not agree,Not agree
09/21/2020,FL,677362,,,1671,5,13317,,,21,-1,09/22/2020 01:51:57 PM,Not agree,Not agree
11/08/2020,FL,832525,,,6619,0,17121,,,21,0,11/09/2020 14:38,Not agree,Not agree
04/18/2020,FL,24797,,,731,,748,,,22,,04/18/2020 04:22:39 PM,Not agree,Not agree
09/07/2020,FL,640978,,,1812,64,11871,,,22,0,09/08/2020 14:47,Not agree,Not agree
05/18/2020,FL,46442,,,854,0,1997,,,24,0,05/19/2020 03:45:23 PM,Not agree,Not agree
06/27/2020,FL,130092,,,9518,0,3390,,,24,0,06/28/2020 02:59:02 PM,Not agree,Not agree
04/04/2020,FL,11173,,,1248,,195,,,25,,04/03/2020 16:22,Not agree,Not agree
06/17/2020,FL,80676,,,2548,0,3018,,,25,0,06/18/2020 05:16:14 PM,Not agree,Not agree
04/05/2020,FL,11961,,,788,,221,,,26,,04/04/2020 16:22,Not agree,Not agree
04/19/2020,FL,25598,,,801,0,774,,,26,0,04/19/2020 04:22:39 PM,Not agree,Not agree
04/03/2020,FL,9925,,,1231,,170,,,26,,04/03/2020 16:22,Not agree,Not agree
04/08/2020,FL,15234,,,932,,323,,,27,,04/07/2020 16:22,Not agree,Not agree
04/11/2020,FL,18445,,,997,,446,,,27,,04/10/2020 16:22,Not agree,Not agree
06/06/2020,FL,61246,,,1253,0,2688,,,28,0,06/07/2020 14:23,Not agree,Not agree
11/01/2020,FL,796802,,,4805,-431,16789,,,28,0,11/02/2020 14:53,Not agree,Not agree
06/29/2020,FL,143805,,,5238,0,3447,,,28,0,06/30/2020 03:27:33 PM,Not agree,Not agree
06/12/2020,FL,69341,,,1885,0,2877,,,29,0,06/13/2020 05:46:26 PM,Not agree,Not agree
06/28/2020,FL,138567,,,8475,0,3419,,,29,0,06/29/2020 02:37:31 PM,Not agree,Not agree
11/15/2020,FL,872810,,,9820,3502,17518,,,29,1,11/16/2020 06:40:02 PM,Not agree,Not agree
07/05/2020,FL,197076,,,9986,0,3731,,,29,-1,07/06/2020 15:16,Not agree,Not agree
11/04/2020,FL,810256,,,4332,1097,16922,,,32,1,11/05/2020 14:39,Not agree,Not agree
04/06/2020,FL,13214,,,1253,,254,,,33,,04/05/2020 16:22,Not agree,Not agree
05/30/2020,FL,54029,,,915,0,2447,,,34,0,05/31/2020 02:43:17 PM,Not agree,Not agree
09/14/2020,FL,658203,,,1718,99,12642,,,34,0,09/15/2020 02:03:59 PM,Not agree,Not agree
05/03/2020,FL,35969,,,506,0,1399,,,35,0,05/04/2020 22:49,Not agree,Not agree
07/13/2020,FL,278667,,,12548,170,4277,,,35,0,07/14/2020 03:13:07 PM,Not agree,Not agree
06/03/2020,FL,57293,,,1292,0,2566,,,36,0,06/04/2020 15:03,Not agree,Not agree
06/10/2020,FL,65779,,,1331,0,2801,,,36,0,06/11/2020 14:48,Not agree,Not agree
04/13/2020,FL,20394,,,1057,,499,,,38,,04/12/2020 16:22,Not agree,Not agree
09/06/2020,FL,639166,,,2513,158,11849,,,38,2,09/07/2020 13:37,Not agree,Not agree
11/05/2020,FL,816376,,,6120,1534,16961,,,39,0,11/06/2020 15:33,Not agree,Not agree
06/26/2020,FL,120574,,,8850,0,3366,,,39,0,06/27/2020 05:51:58 PM,Not agree,Not agree
06/20/2020,FL,91670,,,4027,0,3144,,,40,0,06/21/2020 02:32:57 PM,Not agree,Not agree
11/21/2020,FL,918240,,,8175,1868,17930,,,40,5,11/22/2020 03:02:23 PM,Not agree,Not agree
10/05/2020,FL,709156,,,1405,54,14712,,,41,1,10/06/2020 13:33,Not agree,Not agree
06/04/2020,FL,58701,,,1408,0,2607,,,41,0,06/05/2020 15:17,Not agree,Not agree
10/31/2020,FL,791997,,,2283,594,16761,,,41,0,11/01/2020 15:03,Not agree,Not agree
11/16/2020,FL,877340,,,4530,692,17559,,,41,2,11/17/2020 02:52:47 PM,Not agree,Not agree
05/15/2020,FL,42940,,,0,0,1917,,,42,0,05/16/2020 03:46:44 PM,Not agree,Not agree
04/07/2020,FL,14302,,,1088,,296,,,42,,04/07/2020 16:22,Not agree,Not agree
05/23/2020,FL,50127,,,676,0,2233,,,43,0,05/24/2020 02:15:55 PM,Not agree,Not agree
04/15/2020,FL,21865,,,881,,614,,,43,,04/15/2020 04:22:39 PM,Not agree,Not agree
04/02/2020,FL,8694,,,1199,,144,,,43,,04/01/2020 16:22,Not agree,Not agree
10/04/2020,FL,707751,,,1813,252,14671,,,43,0,10/05/2020 13:49,Not agree,Not agree
06/18/2020,FL,83854,,,3178,0,3061,,,43,0,06/19/2020 03:01:11 PM,Not agree,Not agree
06/19/2020,FL,87643,,,3789,0,3104,,,43,0,06/20/2020 02:15:45 PM,Not agree,Not agree
06/24/2020,FL,106743,,,5440,0,3281,,,43,0,06/25/2020 02:07:27 PM,Not agree,Not agree
05/20/2020,FL,47471,,,527,0,2096,,,44,0,05/21/2020 03:41:38 PM,Not agree,Not agree
04/21/2020,FL,27127,,,798,0,867,,,44,0,04/21/2020 04:22:39 PM,Not agree,Not agree
05/12/2020,FL,41923,,,941,0,1779,,,44,0,05/13/2020 03:26:08 PM,Not agree,Not agree
09/08/2020,FL,642775,,,1797,130,11915,,,44,0,09/09/2020 13:47,Not agree,Not agree
11/14/2020,FL,862990,,,4405,1295,17489,,,44,3,11/15/2020 03:12:13 PM,Not agree,Not agree
05/28/2020,FL,51918,,,0,0,2364,,,45,0,05/29/2020 02:19:55 PM,Not agree,Not agree
11/02/2020,FL,801371,,,4569,2415,16834,,,45,6,11/03/2020 14:57,Not agree,Not agree
07/01/2020,FL,156288,,,6507,0,3550,,,45,0,07/02/2020 15:10,Not agree,Not agree
07/12/2020,FL,266119,,,15135,31,4242,,,45,0,07/13/2020 03:19:34 PM,Not agree,Not agree
05/22/2020,FL,49451,,,776,0,2190,,,46,0,05/23/2020 05:58:16 PM,Not agree,Not agree
05/09/2020,FL,40001,,,802,0,1715,,,46,0,05/10/2020 21:26,Not agree,Not agree
05/01/2020,FL,34728,,,1038,0,1314,,,46,0,05/02/2020 15:47,Not agree,Not agree
06/25/2020,FL,111724,,,4981,0,3327,,,46,0,06/26/2020 07:18:27 PM,Not agree,Not agree
04/29/2020,FL,32318,,,332,0,1218,,,47,0,04/30/2020 04:07:01 PM,Not agree,Not agree
06/11/2020,FL,67456,,,1677,0,2848,,,47,0,06/12/2020 14:17,Not agree,Not agree
05/16/2020,FL,44811,,,1871,0,1964,,,47,0,05/17/2020 03:27:46 PM,Not agree,Not agree
07/06/2020,FL,203376,,,6300,9,3778,,,47,1,07/07/2020 14:58,Not agree,Not agree
05/13/2020,FL,42402,,,479,0,1827,,,48,0,05/14/2020 05:25:44 PM,Not agree,Not agree
05/14/2020,FL,43210,,,808,0,1875,,,48,0,05/15/2020 04:11:22 PM,Not agree,Not agree
04/09/2020,FL,16323,,,1089,,371,,,48,,04/08/2020 16:22,Not agree,Not agree
04/10/2020,FL,17448,,,1125,,419,,,48,,04/09/2020 16:22,Not agree,Not agree
05/21/2020,FL,48675,,,1204,0,2144,,,48,0,05/22/2020 03:31:45 PM,Not agree,Not agree
10/12/2020,FL,726934,,,1519,167,15412,,,48,2,10/13/2020 01:29:38 PM,Not agree,Not agree
06/13/2020,FL,71589,,,2248,0,2925,,,48,0,06/14/2020 02:19:43 PM,Not agree,Not agree
04/20/2020,FL,26329,,,731,0,823,,,49,0,04/20/2020 04:22:39 PM,Not agree,Not agree
05/29/2020,FL,53114,,,1196,0,2413,,,49,0,05/30/2020 03:47:59 PM,Not agree,Not agree
05/02/2020,FL,35463,,,735,0,1364,,,50,0,05/03/2020 15:36,Not agree,Not agree
04/30/2020,FL,33690,,,1372,0,1268,,,50,0,05/01/2020 21:00,Not agree,Not agree
10/18/2020,FL,745492,,,2474,272,15967,,,50,2,10/19/2020 02:06:44 PM,Not agree,Not agree
08/23/2020,FL,594287,,,3004,55,10325,,,51,0,08/24/2020 01:54:34 PM,Not agree,Not agree
11/11/2020,FL,846321,,,5669,1525,17300,,,52,0,11/12/2020 14:55,Not agree,Not agree
06/09/2020,FL,64448,,,1070,0,2765,,,53,0,06/10/2020 20:56,Not agree,Not agree
06/05/2020,FL,59993,,,1292,0,2660,,,53,0,06/06/2020 14:31,Not agree,Not agree
11/06/2020,FL,821526,,,5150,1438,17014,,,53,4,11/07/2020 14:45,Not agree,Not agree
