submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
02/26/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/27/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/28/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/29/2020,ME,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/13/2020,ME,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/31/2020,ME,303,,,0,,5,,,0,,03/30/2020 04:22:39 PM,Agree,Agree
05/13/2020,ME,1515,1372,143,0,0,66,66,0,0,0,05/14/2020 05:25:44 PM,Agree,Agree
05/22/2020,ME,1948,1749,199,0,0,75,75,0,0,-1,05/23/2020 05:58:16 PM,Agree,Agree
05/26/2020,ME,2109,1894,215,0,0,79,79,0,0,-1,05/27/2020 03:37:59 PM,Agree,Agree
06/16/2020,ME,2819,2499,320,0,0,101,101,0,0,-1,06/17/2020 03:06:04 PM,Agree,Agree
06/20/2020,ME,2938,2610,328,0,0,102,102,0,0,-1,06/21/2020 02:32:57 PM,Agree,Agree
09/13/2020,ME,4863,4376,487,0,0,136,135,1,0,0,09/14/2020 02:01:21 PM,Agree,Agree
09/25/2020,ME,5235,4691,544,0,0,140,139,1,0,0,09/26/2020 01:46:07 PM,Agree,Agree
10/20/2020,ME,5989,5341,648,0,0,146,145,1,0,0,10/21/2020 01:34:31 PM,Agree,Agree
10/24/2020,ME,6137,5475,662,0,0,146,145,1,0,0,10/25/2020 01:45:35 PM,Agree,Agree
10/31/2020,ME,6668,5907,761,0,0,147,146,1,0,0,11/01/2020 15:03,Agree,Agree
11/25/2020,ME,11027,9916,1111,0,0,190,189,1,0,0,11/26/2020 02:44:21 PM,Agree,Agree
11/29/2020,ME,11508,10315,1193,0,0,191,190,1,0,0,11/30/2020 02:51:40 PM,Agree,Agree
03/12/2020,ME,1,,,1,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/18/2020,ME,3646,3252,394,2,0,117,117,0,0,-1,07/19/2020 03:05:47 PM,Agree,Agree
03/14/2020,ME,5,,,4,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/20/2020,ME,56,,,4,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
08/03/2020,ME,3975,3548,427,5,-2,123,122,1,0,0,08/04/2020 14:09,Agree,Agree
08/05/2020,ME,3997,3581,416,5,-8,124,123,1,0,0,08/06/2020 14:12,Agree,Agree
03/16/2020,ME,19,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/19/2020,ME,52,,,8,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/26/2020,ME,155,,,8,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/13/2020,ME,3566,3168,398,8,-1,114,113,1,0,0,07/14/2020 03:13:07 PM,Agree,Agree
08/09/2020,ME,4051,3641,410,9,-7,125,124,1,0,0,08/10/2020 14:23,Agree,Agree
03/15/2020,ME,14,,,9,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/24/2020,ME,118,,,9,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/15/2020,ME,2819,2499,320,9,5,101,100,1,0,0,06/16/2020 02:10:11 PM,Agree,Agree
07/21/2020,ME,3722,3320,402,11,-22,118,117,1,0,0,07/22/2020 02:51:28 PM,Agree,Agree
09/27/2020,ME,5300,4755,545,11,-3,140,139,1,0,0,09/28/2020 01:50:59 PM,Agree,Agree
08/02/2020,ME,3970,3541,429,12,6,123,122,1,0,0,08/03/2020 14:31,Agree,Agree
09/07/2020,ME,4713,4244,469,12,-2,134,133,1,0,0,09/08/2020 14:47,Agree,Agree
03/18/2020,ME,44,,,12,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
07/14/2020,ME,3578,3186,392,12,-6,114,113,1,0,0,07/15/2020 03:05:12 PM,Agree,Agree
07/09/2020,ME,3499,3110,389,13,-5,111,110,1,0,0,07/10/2020 15:35,Agree,Agree
03/17/2020,ME,32,,,13,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
08/24/2020,ME,4369,3920,449,13,3,131,130,1,0,0,08/25/2020 02:02:54 PM,Agree,Agree
04/05/2020,ME,470,,,14,,10,,,0,,04/04/2020 16:22,Agree,Agree
03/21/2020,ME,70,,,14,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
06/22/2020,ME,2971,2640,331,14,3,102,102,0,0,0,06/23/2020 02:28:19 PM,Agree,Agree
09/05/2020,ME,4682,4210,472,15,2,134,133,1,0,0,09/06/2020 14:09,Agree,Agree
07/22/2020,ME,3737,3334,403,15,1,118,117,1,0,0,07/23/2020 02:48:19 PM,Agree,Agree
08/08/2020,ME,4042,3625,417,16,0,125,124,1,0,0,08/09/2020 14:03,Agree,Agree
03/23/2020,ME,109,,,16,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
04/28/2020,ME,1056,1029,27,16,2,51,51,0,0,0,04/29/2020 06:12:08 PM,Agree,Agree
